! Vector Network Analyzer VNA R2,,,,,,,
! Tucson Amateur Packet Radio,,,,,,,
! Friday, March 02, 2012   2:56:46 PM,,,,,
50+j0,50,,Unity,1,,,
,,,,,,,
Frequency (Hz.),S11,S21,S12,S22,,Zin,Zout
21276381,-0.987559+0.0115301i,0.419871-0.553613i,0.419871-0.553613i,-0.987559+0.0115301i,,0.311278706896201+0.291862568416024i,0.311278706896201+0.291862568416024i
21417085,-0.987316+0.0114193i,0.410405-0.555894i,0.410405-0.555894i,-0.987316+0.0114193i,,0.317462523330074+0.289128754457099i,0.317462523330074+0.289128754457099i
21557788,-0.987756+0.0109591i,0.406129-0.556442i,0.406129-0.556442i,-0.987756+0.0109591i,,0.306456346762468+0.277354708399725i,0.306456346762468+0.277354708399725i
21698492,-0.987971+0.0107454i,0.398274-0.559918i,0.398274-0.559918i,-0.987971+0.0107454i,,0.301075043971284+0.271887855395018i,0.301075043971284+0.271887855395018i
21839195,-0.987767+0.0109399i,0.393733-0.559998i,0.393733-0.559998i,-0.987767+0.0109399i,,0.306183328481705+0.276865756899705i,0.306183328481705+0.276865756899705i
21979899,-0.988619+0.0101435i,0.386121-0.562173i,0.386121-0.562173i,-0.988619+0.0101435i,,0.284845048823467+0.25649172906059i,0.284845048823467+0.25649172906059i
22120603,-0.988288+0.0106313i,0.380786-0.562736i,0.380786-0.562736i,-0.988288+0.0106313i,,0.293086857476621+0.268915214650941i,0.293086857476621+0.268915214650941i
22261306,-0.987961+0.0104474i,0.37484-0.56672i,0.37484-0.56672i,-0.987961+0.0104474i,,0.301408439210006+0.264350726461838i,0.301408439210006+0.264350726461838i
22402010,-0.987521+0.010272i,0.370786-0.566633i,0.370786-0.566633i,-0.987521+0.010272i,,0.312589901365112+0.260027905851974i,0.312589901365112+0.260027905851974i
22542713,-0.988346+0.00928151i,0.364657-0.569137i,0.364657-0.569137i,-0.988346+0.00928151i,,0.291961794842112+0.234760623311257i,0.291961794842112+0.234760623311257i
22683417,-0.987724+0.0102947i,0.359471-0.572096i,0.359471-0.572096i,-0.987724+0.0102947i,,0.307445964978667+0.260549283489894i,0.307445964978667+0.260549283489894i
22824120,-0.987911+0.0100885i,0.351597-0.571374i,0.351597-0.571374i,-0.987911+0.0100885i,,0.302767367131506+0.255282791122593i,0.302767367131506+0.255282791122593i
22964824,-0.987801+0.00967894i,0.345135-0.573567i,0.345135-0.573567i,-0.987801+0.00967894i,,0.305653923631235+0.244946755730373i,0.305653923631235+0.244946755730373i
23105527,-0.987133+0.0101967i,0.339935-0.57521i,0.339935-0.57521i,-0.987133+0.0101967i,,0.322432862367267+0.258222651009118i,0.322432862367267+0.258222651009118i
23246231,-0.988448+0.00943423i,0.336568-0.574309i,0.336568-0.574309i,-0.988448+0.00943423i,,0.289345763273998+0.238598773757349i,0.289345763273998+0.238598773757349i
23386934,-0.988604+0.00909129i,0.330512-0.576372i,0.330512-0.576372i,-0.988604+0.00909129i,,0.285481676898746+0.229889860783933i,0.285481676898746+0.229889860783933i
23527638,-0.987737+0.0096234i,0.324115-0.577451i,0.324115-0.577451i,-0.987737+0.0096234i,,0.307287208575501+0.243556943259096i,0.307287208575501+0.243556943259096i
